Format Version,1.22,Take Name,Take 2022-09-28 07.08.51 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 05:07:01 +0530,Total Frames in Take,5614,Total Exported Frames,5614,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.034592,-0.132835,0.267036,-0.953861,0.314482,0.566048,0.222430,0.037628,0.310359,0.566466,0.109086,0.279839,0.358166,0.530872,0.264038,0.000250,0.329383,0.557483,0.259723,0.232945,0.276576,0.594632,0.220985,0.070197,0.297927,0.580785,0.258317,0.352528,0.310067,0.566665,0.108539,,,,0.328574,0.558181,0.262577,,,,0.298587,0.580254,0.257081,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.034455,-0.132866,0.266904,-0.953898,0.314485,0.566076,0.222459,0.037630,0.310364,0.566529,0.109116,0.279939,0.358177,0.530897,0.264056,0.000250,0.329388,0.557503,0.259750,0.233778,0.276573,0.594652,0.221023,0.068211,0.297926,0.580799,0.258351,0.353207,0.310077,0.566724,0.108567,,,,0.328578,0.558199,0.262584,,,,0.298585,0.580268,0.257125,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.034390,-0.132783,0.266957,-0.953897,0.314488,0.566100,0.222466,0.037631,0.310389,0.566561,0.109122,0.278078,0.358167,0.530913,0.264070,0.000250,0.329381,0.557522,0.259759,0.232762,0.276579,0.594680,0.221025,0.067076,0.297923,0.580822,0.258356,0.354338,0.310094,0.566761,0.108570,,,,0.328583,0.558211,0.262612,,,,0.298577,0.580295,0.257124,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.034524,-0.132774,0.267006,-0.953880,0.314495,0.566128,0.222479,0.037635,0.310390,0.566559,0.109135,0.277506,0.358174,0.530951,0.264090,0.000250,0.329390,0.557560,0.259773,0.232956,0.276588,0.594710,0.221032,0.066530,0.297934,0.580861,0.258365,0.353305,0.310097,0.566758,0.108586,,,,0.328587,0.558253,0.262620,,,,0.298591,0.580331,0.257132,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.034812,-0.132720,0.266888,-0.953910,0.314503,0.566172,0.222490,0.037640,0.310391,0.566539,0.109146,0.276090,0.358195,0.531031,0.264118,0.000250,0.329403,0.557629,0.259788,0.233272,0.276586,0.594741,0.221029,0.066159,0.297938,0.580919,0.258369,0.351645,0.310096,0.566739,0.108603,,,,0.328596,0.558326,0.262634,,,,0.298602,0.580384,0.257126,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.034975,-0.132696,0.267110,-0.953845,0.314507,0.566197,0.222480,0.037638,0.310391,0.566523,0.109136,0.276550,0.358186,0.531054,0.264120,0.000250,0.329405,0.557663,0.259781,0.233507,0.276602,0.594782,0.221010,0.067515,0.297950,0.580965,0.258355,0.352043,0.310096,0.566723,0.108592,,,,0.328598,0.558361,0.262633,,,,0.298611,0.580431,0.257113,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.035140,-0.132678,0.266936,-0.953891,0.314514,0.566231,0.222485,0.037642,0.310392,0.566523,0.109141,0.276193,0.358210,0.531117,0.264132,0.000250,0.329418,0.557712,0.259788,0.232544,0.276598,0.594799,0.221009,0.067420,0.297953,0.581002,0.258356,0.352484,0.310099,0.566721,0.108594,,,,0.328607,0.558415,0.262651,,,,0.298613,0.580470,0.257119,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.035168,-0.132752,0.267439,-0.953738,0.314519,0.566242,0.222500,0.037649,0.310379,0.566520,0.109156,0.275891,0.358185,0.531089,0.264145,0.000250,0.329420,0.557714,0.259801,0.232447,0.276632,0.594850,0.221025,0.066331,0.297980,0.581036,0.258371,0.352141,0.310089,0.566716,0.108609,,,,0.328605,0.558420,0.262658,,,,0.298639,0.580502,0.257137,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.035198,-0.132817,0.267420,-0.953733,0.314528,0.566238,0.222518,0.037657,0.310372,0.566515,0.109175,0.275256,0.358202,0.531088,0.264158,0.000250,0.329435,0.557712,0.259817,0.232153,0.276640,0.594845,0.221048,0.063911,0.297993,0.581033,0.258391,0.352111,0.310082,0.566711,0.108629,,,,0.328624,0.558416,0.262662,,,,0.298654,0.580498,0.257158,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.035172,-0.132933,0.267514,-0.953692,0.314538,0.566237,0.222527,0.037666,0.310358,0.566523,0.109185,0.272656,0.358213,0.531073,0.264155,0.000250,0.329450,0.557703,0.259823,0.230094,0.276656,0.594851,0.221068,0.061203,0.298014,0.581031,0.258405,0.351041,0.310065,0.566722,0.108644,,,,0.328638,0.558409,0.262679,,,,0.298677,0.580494,0.257162,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,0.035138,-0.132940,0.267321,-0.953746,0.314529,0.566216,0.222549,0.037669,0.310350,0.566515,0.109208,0.272571,0.358217,0.531064,0.264173,0.000250,0.329445,0.557684,0.259844,0.232069,0.276636,0.594816,0.221093,0.059134,0.297999,0.580999,0.258429,0.350930,0.310054,0.566715,0.108670,,,,0.328642,0.558380,0.262669,,,,0.298665,0.580460,0.257184,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,0.034990,-0.133048,0.267060,-0.953810,0.314536,0.566175,0.222560,0.037681,0.310342,0.566519,0.109219,0.271437,0.358247,0.531027,0.264163,0.000250,0.329461,0.557635,0.259849,0.228369,0.276629,0.594757,0.221120,0.056385,0.298004,0.580936,0.258448,0.351739,0.310049,0.566717,0.108676,,,,0.328653,0.558334,0.262694,,,,0.298665,0.580401,0.257208,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,0.035010,-0.133084,0.266974,-0.953828,0.314529,0.566149,0.222563,0.037685,0.310326,0.566493,0.109222,0.270798,0.358249,0.531009,0.264162,0.000250,0.329458,0.557611,0.259851,0.228104,0.276617,0.594725,0.221126,0.055625,0.297997,0.580907,0.258452,0.351125,0.310032,0.566692,0.108681,,,,0.328650,0.558311,0.262694,,,,0.298661,0.580370,0.257209,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,0.035000,-0.133085,0.266858,-0.953861,0.314519,0.566111,0.222566,0.037688,0.310316,0.566460,0.109225,0.270928,0.358247,0.530979,0.264164,0.000250,0.329450,0.557575,0.259854,0.227656,0.276600,0.594678,0.221132,0.055150,0.297983,0.580863,0.258457,0.351494,0.310023,0.566658,0.108683,,,,0.328641,0.558275,0.262698,,,,0.298646,0.580328,0.257216,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.034991,-0.133111,0.266911,-0.953843,0.314508,0.566080,0.222567,0.037691,0.310300,0.566432,0.109226,0.269946,0.358234,0.530943,0.264162,0.000250,0.329440,0.557542,0.259854,0.227717,0.276592,0.594651,0.221134,0.054197,0.297975,0.580834,0.258458,0.351357,0.310002,0.566633,0.108686,,,,0.328638,0.558236,0.262697,,,,0.298639,0.580297,0.257210,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.034979,-0.133059,0.266626,-0.953930,0.314483,0.566048,0.222568,0.037687,0.310287,0.566406,0.109227,0.270687,0.358225,0.530933,0.264165,0.000250,0.329415,0.557515,0.259856,0.229861,0.276550,0.594597,0.221133,0.054819,0.297938,0.580789,0.258458,0.351533,0.309988,0.566608,0.108688,,,,0.328619,0.558205,0.262682,,,,0.298602,0.580252,0.257211,,,,,,,,,,,,,,,,,,,,,,,,
